"Valor Mercado","Tipo","Valor Compra","Edad","Edad Maxima"
"10473.705154648","1","45926","10","14"
"4674.6456509565","1","44640","14","13"
"5861.8282673048","1","45307","13","13"
"5310.7268788766","1","45421","15","15"
"10166.531426574","1","43695","10","14"
"9248.3910216535","1","44366","11","14"
"6034.8095813045","1","46644","14","14"
"9913.3534513612","1","42717","10","14"
"7291.2535133763","1","43661","10","12"
"6077.0561252136","1","45049","14","14"
"9481.5060482694","1","42479","11","15"
"5260.8207805144","1","44126","15","15"
"4662.9286180431","1","47352","15","13"
"7867.0175778986","1","46294","13","15"
"5564.1244501668","1","43006","14","14"
"8051.2880689084","1","45432","11","13"
"5609.2781364689","1","43355","13","13"
"3601.0591238986","1","42905","14","12"
"5751.8439812022","1","43205","14","14"
"5727.4022499183","1","44268","15","15"
"9165.0753901775","1","45704","11","14"
"5916.1927493602","1","45937","13","13"
"10679.153317878","1","44651","10","14"
"4974.0174684481","1","45588","13","12"
"8720.2973135231","1","43486","11","14"
"7871.666366936","1","43269","10","12"
"7650.5370524924","1","44542","10","12"
"7812.234471977","1","45316","10","12"
"8262.8012227652","1","47332","11","13"
"5701.4286692718","1","42238","14","15"
"5758.3002693763","1","44517","14","14"
"10072.540178243","1","45430","10","13"
"3632.845695594","1","43480","14","12"
"6629.6899776799","1","43213","11","12"
"6148.6641484846","1","47524","12","12"
"4994.9932075839","1","46709","15","14"
"6864.6235005037","1","45847","13","14"
"10464.051685999","1","44130","11","15"
"3547.8748761705","1","45581","15","12"
"10388.934430839","1","44292","10","15"
"5581.1452650672","1","47839","12","12"
"3021.2988637455","1","42421","15","12"
"9823.1642580841","1","47362","10","13"
"8230.077689522","1","44301","11","14"
"6293.7499057444","1","45476","15","15"
"7694.3988864608","1","43075","11","13"
"5347.0625470937","1","47066","13","12"
"4217.0124806069","1","44645","15","13"
"8349.3810677319","1","45738","11","13"
"8679.8467949631","1","47151","13","15"
"6270.6565243885","1","43953","14","15"
"7799.0111361723","1","42679","13","15"
"6886.3084362146","1","43030","12","14"
"9880.6157276058","1","47639","10","13"
"7825.2905655166","1","46206","13","15"
"5467.8655888237","1","42262","12","12"
"6653.4845135242","1","44960","14","15"
"7303.29135998","1","44457","13","15"
"5256.1429763944","1","45919","15","14"
"8421.1971367289","1","46549","11","13"
"8535.7293537264","1","47242","13","15"
"6141.9363786058","1","47472","13","13"
"5522.0758884242","1","42681","15","15"
"4045.4793937039","1","42829","15","13"
"7860.2201375582","1","46254","13","15"
"4892.7914173531","1","43765","15","14"
"7971.9528071294","1","44492","10","12"
"5065.1226844294","1","46423","13","12"
"5785.1058146482","1","44714","13","13"
"6242.2554833539","1","46265","14","14"
"6725.3319721382","1","46617","11","12"
"5123.8889669612","1","44190","14","13"
"4510.7693629613","1","43997","13","12"
"10975.539905159","1","47294","10","14"
"5681.0841419064","1","43910","15","15"
"5638.4675530367","1","46099","12","12"
"6055.6473671635","1","47659","12","12"
"10386.77717121","1","44757","10","14"
"6537.494823716","1","45982","14","14"
"7944.6301320583","1","45849","12","14"
"8166.2012036105","1","44888","10","12"
"7187.9532878981","1","42298","13","15"
"7653.8823544189","1","46683","12","14"
"3747.1513018568","1","43315","14","12"
"7203.0359437094","1","44368","11","13"
"8024.6142757337","1","47646","11","13"
"4725.1064438894","1","42168","13","12"
"6622.6867516848","1","44664","14","15"
"10036.127267601","1","43120","11","15"
"4830.2303512196","1","43640","14","13"
"6957.3435483172","1","44116","13","15"
"10282.875453146","1","45700","11","15"
"8599.4840930869","1","45834","10","12"
"9911.302437961","1","42670","10","14"
"7161.7514060715","1","47297","12","13"
"4273.6939385696","1","46447","14","12"
